Tabla,Parámetro/Campo,Tipo de dato,Descripción,Ejemplo de valor
RESUMEN_CALIFICACION_PERIODO,periodo_academico_id,Entero (FK),Período académico del resumen,3
RESUMEN_CALIFICACION_PERIODO,promedio_formativo,Decimal,Promedio de todas las notas del bloque formativo (70%),7.33
RESUMEN_CALIFICACION_PERIODO,promedio_sumativo,Decimal,Promedio de todas las notas del bloque sumativo (30%),8.00
RESUMEN_CALIFICACION_PERIODO,promedio_final_truncado,Decimal,Nota final del período truncada a 2 decimales sin redondeo,7.53
RESUMEN_CALIFICACION_PERIODO,escala_cualitativa_id,Entero (FK),Escala cualitativa equivalente al promedio final,5
RESUMEN_CALIFICACION_PERIODO,requiere_recuperacion,Booleano,Indica si el estudiante necesita proceso de recuperación,false
RESUMEN_CALIFICACION_PERIODO,estado_promocion,Texto,Estado de promoción del estudiante en la asignatura,APROBADO
RESUMEN_CALIFICACION_PERIODO,calculado_en,Fecha-hora,Fecha y hora en que el sistema calculó este resumen,2026-11-28 22:00:00
RESUMEN_COMPORTAMIENTO_PERIODO,id,Entero (PK),Identificador único del resumen de comportamiento,18
RESUMEN_COMPORTAMIENTO_PERIODO,matricula_id,Entero (FK),Matrícula del estudiante evaluado,55
RESUMEN_COMPORTAMIENTO_PERIODO,periodo_academico_id,Entero (FK),Período académico del resumen de comportamiento,3
RESUMEN_COMPORTAMIENTO_PERIODO,escala_calculada_id,Entero (FK),Escala cualitativa calculada automáticamente por el sistema,5
RESUMEN_COMPORTAMIENTO_PERIODO,escala_final_id,Entero (FK),Escala cualitativa final validada por el docente (puede diferir),5
RESUMEN_COMPORTAMIENTO_PERIODO,observacion_general,Texto,Observación general del docente sobre el comportamiento del período,Buena convivencia; mostró liderazgo positivo en actividades grupales
RESUMEN_COMPORTAMIENTO_PERIODO,razon_anulacion,Texto,Razón si la escala calculada fue anulada o corregida manualmente,NULL
ALERTA_TEMPRANA,id,Entero (PK),Identificador único de la alerta,6
ALERTA_TEMPRANA,matricula_id,Entero (FK),Matrícula del estudiante que genera la alerta,55
ALERTA_TEMPRANA,periodo_academico_id,Entero (FK),Período académico en que se detecta la alerta,3
ALERTA_TEMPRANA,tipo_alerta,Texto,"Tipo de alerta detectada (ASISTENCIA, CALIFICACION, CONDUCTA)",ASISTENCIA
ALERTA_TEMPRANA,descripcion,Texto,Descripción detallada de la situación que activa la alerta,Juan Pérez acumula 6 ausencias consecutivas injustificadas en Matemáticas (semanas 8-10)
ALERTA_TEMPRANA,nivel_urgencia,Texto,"Nivel de urgencia de la alerta: BAJA, MEDIA o ALTA",ALTA
ALERTA_TEMPRANA,atendida,Booleano,Indica si un docente o directivo atendió la alerta,false
ALERTA_TEMPRANA,atendida_por_usuario_id,Entero (FK),Usuario que atendió la alerta,NULL
ALERTA_TEMPRANA,fecha_deteccion,Fecha-hora,Fecha y hora en que el sistema detectó la alerta,2026-11-12 06:00:00
ALERTA_TEMPRANA,fecha_atencion,Fecha-hora,Fecha y hora en que la alerta fue atendida,NULL
ALERTA_TEMPRANA,acciones_respuesta,Texto,Descripción de las acciones tomadas para atender la alerta,NULL
SNAPSHOT_FEATURES_ML,id,Entero (PK),Identificador único del snapshot,33
SNAPSHOT_FEATURES_ML,matricula_id,Entero (FK),Matrícula del estudiante del que se capturan las características,55
SNAPSHOT_FEATURES_ML,periodo_academico_id,Entero (FK),Período académico al que corresponde el snapshot,3
SNAPSHOT_FEATURES_ML,tasa_asistencia,Decimal,Porcentaje de días asistidos sobre días totales del período,0.78
SNAPSHOT_FEATURES_ML,max_ausencias_consecutivas,Entero,Máximo de días consecutivos de ausencia en el período,6
SNAPSHOT_FEATURES_ML,cantidad_retrasos,Entero,Número de llegadas tardías registradas en el período,3
SNAPSHOT_FEATURES_ML,ausencias_justificadas,Entero,Total de ausencias con justificación válida,2
SNAPSHOT_FEATURES_ML,ausencias_injustificadas,Entero,Total de ausencias sin justificación,5
SNAPSHOT_FEATURES_ML,promedio_formativo_normalizado,Decimal,Promedio formativo normalizado entre 0 y 1,0.75
SNAPSHOT_FEATURES_ML,promedio_sumativo_normalizado,Decimal,Promedio sumativo normalizado entre 0 y 1,0.80
SNAPSHOT_FEATURES_ML,pendiente_tendencia_calificacion,Decimal,Pendiente de la regresión de notas; negativa indica tendencia a bajar,−0.12
SNAPSHOT_FEATURES_ML,cantidad_asignaturas_en_recuperacion,Entero,Número de asignaturas con proceso de recuperación activo,1
SNAPSHOT_FEATURES_ML,puntuacion_conducta,Decimal,Puntuación agregada de conducta normalizada entre 0 y 1,0.70
SNAPSHOT_FEATURES_ML,cantidad_incidentes_graves,Entero,Número de incidentes disciplinarios de severidad 3,0
SNAPSHOT_FEATURES_ML,razon_familia_notificada,Decimal,Proporción de incidentes en los que se notificó a la familia,1.00
SNAPSHOT_FEATURES_ML,promedio_periodo_anterior,Decimal,Promedio final del período académico inmediatamente anterior,7.80
SNAPSHOT_FEATURES_ML,brecha_edad_grado,Entero,Años de diferencia entre la edad del estudiante y la edad esperada para el grado,1
SNAPSHOT_FEATURES_ML,es_repitente,Booleano,Indica si el estudiante repite el año escolar actual,false
SNAPSHOT_FEATURES_ML,tiene_nee,Booleano,Indica si el estudiante tiene necesidades educativas especiales,false
SNAPSHOT_FEATURES_ML,zona_residencia,Texto,Zona geográfica del domicilio del estudiante,Urbana
SNAPSHOT_FEATURES_ML,distancia_institucion_km,Decimal,Distancia en km del domicilio a la institución,4.5
SNAPSHOT_FEATURES_ML,alertas_activas,Entero,Número de alertas tempranas no atendidas al momento del snapshot,1
SNAPSHOT_FEATURES_ML,calculada_en,Fecha-hora,Fecha y hora en que se calculó el snapshot,2026-11-28 23:00:00
PREDICCION_DESERCION,id,Entero (PK),Identificador único de la predicción,20
PREDICCION_DESERCION,matricula_id,Entero (FK),Matrícula del estudiante sobre el que se predice,55
PREDICCION_DESERCION,periodo_academico_id,Entero (FK),Período académico de la predicción,3
PREDICCION_DESERCION,puntuacion_riesgo,Decimal,Probabilidad de deserción calculada por el modelo (0.0 a 1.0),0.72
PREDICCION_DESERCION,etiqueta_riesgo,Texto,"Categoría de riesgo asignada: BAJO, MEDIO, ALTO o CRITICO",ALTO
PREDICCION_DESERCION,version_modelo,Texto,Versión del modelo ML utilizado para esta predicción,v2.1.0-2026
PREDICCION_DESERCION,calculada_en,Fecha-hora,Fecha y hora en que se generó la predicción,2026-11-29 02:00:00
DETALLE_FACTOR_PREDICCION,id,Entero (PK),Identificador único del detalle de factor,55
DETALLE_FACTOR_PREDICCION,prediccion_desercion_id,Entero (FK),Predicción de deserción a la que corresponde el factor,20
DETALLE_FACTOR_PREDICCION,factor_riesgo_id,Entero (FK),Factor de riesgo que contribuye a la predicción,4
DETALLE_FACTOR_PREDICCION,ponderacion_contribucion,Decimal,Peso de este factor en la puntuación total de riesgo (SHAP value),0.31
